處理編號,車種1,車種2,車種3,車種4,車種5,車種6,車種7,當事者區分.類別.1,當事者區分.類別.2,當事者區分.類別.3,當事者區分.類別.4,當事者區分.類別.5,當事者區分.類別.6,當事者區分.類別.7,年齡1,年齡2,年齡3,年齡4,年齡5,年齡6,年齡7,受傷程度1,受傷程度2,受傷程度3,受傷程度4,受傷程度5,受傷程度6,受傷程度7,車輛牌照號碼1,車輛牌照號碼2,車輛牌照號碼3,車輛牌照號碼4,車輛牌照號碼5,車輛牌照號碼6,車輛牌照號碼7,車輛用途1,車輛用途2,車輛用途3,車輛用途4,車輛用途5,車輛用途6,車輛用途7,駕駛資格情形1,駕駛資格情形2,駕駛資格情形3,駕駛資格情形4,駕駛資格情形5,駕駛資格情形6,駕駛資格情形7,飲酒情形1,飲酒情形2,飲酒情形3,飲酒情形4,飲酒情形5,飲酒情形6,飲酒情形7,車輛撞擊部位最初1,車輛撞擊部位最初2,車輛撞擊部位最初3,車輛撞擊部位最初4,車輛撞擊部位最初5,車輛撞擊部位最初6,車輛撞擊部位最初7,肇事因素個別1,肇事因素個別2,肇事因素個別3,肇事因素個別4,肇事因素個別5,肇事因素個別6,肇事因素個別7,肇事因素主要1,肇事因素主要2,肇事因素主要3,肇事因素主要4,肇事因素主要5,肇事因素主要6,肇事因素主要7,職.業1,職.業2,職.業3,職.業4,職.業5,職.業6,職.業7,旅次目的1,旅次目的2,旅次目的3,旅次目的4,旅次目的5,旅次目的6,旅次目的7,國籍1,國籍2,國籍3,國籍4,國籍5,國籍6,國籍7
10104YZ000007,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,29,60,,,,,,未受傷,受傷,,,,,,6F****9代號268,29****C代號269,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,事務工作者,家庭主婦（夫）,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000008,自用 小客車,自用 小客車,自用 小客車,,,,,小客車自用,小客車自用,小客車自用,,,,,34,47,29,,,,,,,,,,,,21****S代號270,17****V代號271,17****S代號272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,本國
10104YZ000010,腳踏自行車 慢車,普通重型 機車,,,,,,腳踏自行車,機車普通重型,,,,,,14,30,,,,,,受傷,受傷,,,,,,,PZ****3代號273,,,,,,其他,其他,,,,,,非汽（機）車駕駛人,有適當之駕照,,,,,,非駕駛人，未檢測,經檢測無酒精反應,,,,,,非汽（機）車,機車前車頭,,,,,,左轉彎未依規定,未注意車前狀態,,,,,,左轉彎未依規定,左轉彎未依規定,,,,,,國中生,技術員及助理人員,,,,,,上、下學,上、下班,,,,,,本國,本國,
10104YZ000011,普通重型 機車,普通重型 機車,乘客 人,,,,,機車普通重型,機車普通重型,乘客,,,,,68,23,22,,,,,受傷,受傷,受傷,,,,,90****E代號274,KC****0代號275,KC****0代號275,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,機車右側車身,機車前車頭,非汽（機）車,,,,,未依規定讓車,未依規定減速,尚未發現肇事因素,,,,,未依規定讓車,未依規定讓車,未依規定讓車,,,,,無業者,大學（研究）生,大學（研究）生,,,,,其他,其他,其他,,,,,本國,本國,本國
10104YZ000012,普通重型 機車, ,,,,,,機車普通重型,,,,,,,20,0,,,,,,受傷,,,,,,,28****E代號276,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車前車頭,,,,,,,未依規定減速,尚未發現肇事因素,,,,,,未依規定減速,未依規定減速,,,,,,大學（研究）生,,,,,,,上、下班,,,,,,,本國,本國,
10104YZ000014,普通重型 機車,普通重型 機車,乘客 人,,,,,機車普通重型,機車普通重型,乘客,,,,,20,50,21,,,,,受傷,受傷,受傷,,,,,30****Y代號277,PZ****9代號233,30****Y代號277,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經呼氣檢測未超過0.15mg∕L或血液檢測未超過0.03,經檢測無酒精反應,非駕駛人，未檢測,,,,,機車前車頭,機車右側車身,非汽（機）車,,,,,未依規定減速,未依規定讓車,尚未發現肇事因素,,,,,未依規定減速,未依規定減速,未依規定減速,,,,,不明,不明,不明,,,,,其他,其他,其他,,,,,本國,本國,本國
10104YZ000015,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,23,46,,,,,,受傷,未受傷,,,,,,80****K代號278,09****X代號279,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,不明,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000016,普通重型 機車, ,,,,,,機車普通重型,,,,,,,24,0,,,,,,受傷,,,,,,,PZ****9代號280,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經呼氣檢測0.56至0.80mg∕L或血液檢測0.111至0.16,,,,,,,機車右側車身,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10104YZ000017,自用 小客車,普通重型 機車,乘客 人,,,,,小客車自用,機車普通重型,乘客,,,,,37,41,15,,,,,未受傷,受傷,受傷,,,,,WY****8代號281,IW****0代號282,IW****0代號282,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車前車頭,機車右側車身,非汽（機）車,,,,,未依規定讓車,未依規定減速,尚未發現肇事因素,,,,,未依規定讓車,未依規定讓車,未依規定讓車,,,,,其他,家庭主婦（夫）,國中生,,,,,其他,其他,其他,,,,,本國,本國,本國
10104YZ000018,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,43,56,,,,,,受傷,受傷,,,,,,PZ****2代號283,PZ****5代號284,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,經檢測無酒精反應,,,,,,機車左側車身,機車前車頭,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000022,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,21,38,,,,,,未受傷,受傷,,,,,,05****B代號285,80****W代號286,,,,,,其他,其他,,,,,,無照（已達考照年齡）,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,技術工,家庭主婦（夫）,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000023,自用 小客車,普通重型 機車,乘客 人,,,,,小客車自用,機車普通重型,乘客,,,,,21,20,20,,,,,未受傷,受傷,受傷,,,,,9F****7代號287,51****H代號288,51****H代號288,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車左側車身,機車前車頭,非汽（機）車,,,,,起步未注意其他車（人）安全,未注意車前狀態,尚未發現肇事因素,,,,,起步未注意其他車（人）安全,起步未注意其他車（人）安全,起步未注意其他車（人）安全,,,,,大學（研究）生,大學（研究）生,大學（研究）生,,,,,其他,其他,其他,,,,,本國,本國,本國
10104YZ000024,普通重型 機車,普通重型 機車,自用 小客車,,,,,機車普通重型,機車普通重型,小客車自用,,,,,19,21,53,,,,,受傷,受傷,未受傷,,,,,MF****8代號289,L7****6代號290,01****V代號291,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,有適當之駕照,,,,,經檢測無酒精反應,經檢測無酒精反應,經檢測無酒精反應,,,,,機車前車頭,機車前車頭,汽車後車尾,,,,,違規超車,未保持行車安全距離,尚未發現肇事因素,,,,,違規超車,違規超車,違規超車,,,,,大學（研究）生,大學（研究）生,技術員及助理人員,,,,,社交活動,社交活動,社交活動,,,,,本國,本國,本國
10104YZ000025,普通重型 機車,普通重型 機車,乘客 人,,,,,機車普通重型,機車普通重型,乘客,,,,,23,39,21,,,,,未受傷,未受傷,受傷,,,,,30****V代號292,PZ****5代號293,30****V代號292,,,,,其他,其他,其他,,,,,有適當之駕照,無照（已達考照年齡）,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,機車左側車身,機車前車頭,非汽（機）車,,,,,未依規定讓車,未依規定減速,尚未發現肇事因素,,,,,未依規定讓車,未依規定讓車,未依規定讓車,,,,,大學（研究）生,技術員及助理人員,大學（研究）生,,,,,社交活動,社交活動,社交活動,,,,,本國,本國,本國
10104YZ000026,普通輕型 機車,自用 小客車,,,,,,機車普通輕型,小客車自用,,,,,,46,44,,,,,,受傷,未受傷,,,,,,WE****0代號294,11****V代號295,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右後車尾（身）,,,,,,未依規定讓車,未注意車前狀態,,,,,,未依規定讓車,未依規定讓車,,,,,,服務工作者,技術工,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000028,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,40,21,,,,,,未受傷,受傷,,,,,,WY****2代號296,LP****3代號297,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車前車頭,,,,,,迴轉未依規定,超速失控,,,,,,迴轉未依規定,迴轉未依規定,,,,,,服務工作者,大學（研究）生,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000029,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,70,49,,,,,,未受傷,受傷,,,,,,WY****2代號298,6F****0代號299,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右側車身,汽車前車頭,,,,,,迴轉未依規定,未依規定減速,,,,,,迴轉未依規定,迴轉未依規定,,,,,,不明,不明,,,,,,不明,不明,,,,,,本國,本國,
10104YZ000032,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,46,39,,,,,,未受傷,受傷,,,,,,6F****2代號300,61****A代號301,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經呼氣檢測0.41至0.55mg∕L或血液檢測0.081至0.11,經檢測無酒精反應,,,,,,汽車左後車尾（身）,機車前車頭,,,,,,違規超車,尚未發現肇事因素,,,,,,違規超車,違規超車,,,,,,技術工,不明,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000033,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,45,21,,,,,,受傷,受傷,,,,,,PZ****2代號302,91****V代號303,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車右側車身,機車右側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,家庭主婦（夫）,大學（研究）生,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000034,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,72,32,,,,,,未受傷,受傷,,,,,,HZ****1代號304,PZ****9代號305,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車前車頭,,,,,,違反號誌管制或指揮,尚未發現肇事因素,,,,,,違反號誌管制或指揮,違反號誌管制或指揮,,,,,,無業者,其他,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000035,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,26,68,,,,,,未受傷,受傷,,,,,,6F****1代號306,10****J代號307,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車前車頭,,,,,,未依規定讓車,未注意車前狀態,,,,,,未依規定讓車,未依規定讓車,,,,,,汽車、火車駕駛員及船員,無業者,,,,,,業務聯繫,其他,,,,,,本國,本國,
10104YZ000036,自用 小客車,計程車 小客車,,,,,,小客車自用,小客車計程車,,,,,,21,55,,,,,,未受傷,受傷,,,,,,6F****1代號308,59***Q代號309,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,汽車左前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,服務工作者,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000037,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,27,21,,,,,,未受傷,受傷,,,,,,08****7代號310,22****Z代號311,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右後車尾（身）,機車前車頭,,,,,,右轉彎未依規定,未注意車前狀態,,,,,,右轉彎未依規定,右轉彎未依規定,,,,,,技術工,大學（研究）生,,,,,,購物,上、下學,,,,,,本國,本國,
10104YZ000038,自用 小客車, ,,,,,,小客車自用,,,,,,,23,0,,,,,,受傷,,,,,,,93****M代號312,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,無法檢測,,,,,,,汽車前車頭,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,不明,,,,,,,其他,,,,,,,本國,本國,
10104YZ000039,普通重型 機車,普通重型 機車,乘客 人,,,,,機車普通重型,機車普通重型,乘客,,,,,19,21,21,,,,,受傷,受傷,受傷,,,,,81****V代號313,97****L代號314,97****L代號314,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,機車右側車身,機車左側車身,非汽（機）車,,,,,右轉彎未依規定,尚未發現肇事因素,尚未發現肇事因素,,,,,右轉彎未依規定,右轉彎未依規定,右轉彎未依規定,,,,,技術工,大學（研究）生,大學（研究）生,,,,,其他,其他,其他,,,,,本國,本國,本國
10104YZ000040,普通重型 機車, ,,,,,,機車普通重型,,,,,,,27,0,,,,,,受傷,,,,,,,3J****3代號315,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車前車頭,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10104YZ000041,普通重型 機車, ,,,,,,機車普通重型,,,,,,,47,0,,,,,,受傷,,,,,,,52****C代號316,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,,,,,,,機車左側車身,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,技術員及助理人員,,,,,,,社交活動,,,,,,,本國,本國,
10104YZ000042,腳踏自行車 慢車,普通重型 機車,,,,,,腳踏自行車,機車普通重型,,,,,,22,48,,,,,,未受傷,受傷,,,,,,,29****F代號317,,,,,,其他,其他,,,,,,非汽（機）車駕駛人,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,非汽（機）車,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,上、下學,上、下班,,,,,,本國,本國,
10104YZ000044,自用 小客車,租賃車 小客車,,,,,,小客車自用,小客車租貸車,,,,,,39,37,,,,,,未受傷,未受傷,,,,,,FT****1代號318,WW****6代號319,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左側車身,汽車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,不明,不明,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000045,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,61,28,,,,,,受傷,未受傷,,,,,,PZ****1代號320,6F****5代號321,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車左前車頭（身）,,,,,,未保持行車安全間隔,未保持行車安全間隔,,,,,,未保持行車安全間隔,未保持行車安全間隔,,,,,,專業人員,技術員及助理人員,,,,,,社交活動,社交活動,,,,,,本國,本國,
10104YZ000048,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,20,29,,,,,,受傷,未受傷,,,,,,90****C代號322,5D****8代號323,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車左側車身,汽車右前車頭（身）,,,,,,左轉彎未依規定,未注意車前狀態,,,,,,左轉彎未依規定,左轉彎未依規定,,,,,,大學（研究）生,其他,,,,,,上、下班,業務聯繫,,,,,,本國,本國,
10104YZ000049,自用 小客車,普通輕型 機車,,,,,,小客車自用,機車普通輕型,,,,,,20,21,,,,,,未受傷,受傷,,,,,,6F****5代號324,UB****6代號325,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車後車尾,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,大學（研究）生,大學（研究）生,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000051,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,81,23,,,,,,未受傷,受傷,,,,,,9E****1代號326,32****E代號327,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車前車頭,,,,,,迴轉未依規定,未注意車前狀態,,,,,,迴轉未依規定,迴轉未依規定,,,,,,無業者,大學（研究）生,,,,,,其他,其他,,,,,,本國,本國,
10104YZ000052,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,20,50,,,,,,未受傷,受傷,,,,,,17****V代號328,M6****9代號329,,,,,,其他,其他,,,,,,有適當之駕照,越級駕駛,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,機車右側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,專科生,其他,,,,,,其他,上、下班,,,,,,本國,本國,
10104YZ000053,普通輕型 機車, ,,,,,,機車普通輕型,,,,,,,48,0,,,,,,受傷,,,,,,,WZ****1代號330,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,無法檢測,,,,,,,機車前車頭,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10105YY000015,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,24,42,,,,,,未受傷,受傷,,,,,,6F****7代號331,PZ****2代號332,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,機車左側車身,,,,,,未注意車前狀態,迴轉未依規定,,,,,,未注意車前狀態,未注意車前狀態,,,,,,其他,其他,,,,,,上、下班,購物,,,,,,本國,本國,
10105YY000016,普通重型 機車, ,,,,,,機車普通重型,,,,,,,47,0,,,,,,受傷,,,,,,,19****W代號333,,,,,,,其他,,,,,,,越級駕駛,,,,,,,經檢測無酒精反應,,,,,,,機車右側車身,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,不明,,,,,,,不明,,,,,,,本國,本國,
10105YY000030,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,44,48,,,,,,未受傷,受傷,,,,,,H7****8代號334,12****G代號146,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,不明,不明,,,,,,起步未注意其他車（人）安全,未注意車前狀態,,,,,,起步未注意其他車（人）安全,起步未注意其他車（人）安全,,,,,,服務工作者,服務工作者,,,,,,上、下班,上、下班,,,,,,本國,本國,
10105YY000031,救護車 特種車,自用 小客車,,,,,,救護車,小客車自用,,,,,,22,62,,,,,,未受傷,未受傷,,,,,,軍H*****6代號335,WY****8代號336,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,汽車後車尾,,,,,,未保持行車安全距離,尚未發現肇事因素,,,,,,未保持行車安全距離,未保持行車安全距離,,,,,,保安工作者（不含警察人員）,家庭主婦（夫）,,,,,,業務聯繫,其他,,,,,,本國,本國,
10105YY000036,公營公車 大客車,自用 小客車,,,,,,公營公車,小客車自用,,,,,,43,33,,,,,,未受傷,受傷,,,,,,VU***3代號337,07****2代號338,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,汽車右後車尾（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,汽車、火車駕駛員及船員,服務工作者,,,,,,運輸,上、下班,,,,,,本國,本國,
10105YY000038,普通輕型 機車, ,,,,,,機車普通輕型,,,,,,,51,0,,,,,,受傷,,,,,,,WZ****2代號339,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車左側車身,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10105YY000040,普通重型 機車,普通重型 機車,乘客 人,,,,,機車普通重型,機車普通重型,乘客,,,,,18,63,19,,,,,受傷,未受傷,受傷,,,,,82****V代號340,70****E代號341,82****V代號340,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經呼氣檢測0.56至0.80mg∕L或血液檢測0.111至0.16,非駕駛人，未檢測,,,,,機車右側車身,機車後車尾,非汽（機）車,,,,,未保持行車安全距離,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,未保持行車安全距離,未保持行車安全距離,未保持行車安全距離,,,,,高中生,服務工作者,高中生,,,,,上、下學,其他,上、下學,,,,,本國,本國,本國
10105YY000041,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,38,21,,,,,,未受傷,受傷,,,,,,WY****0代號342,83****R代號343,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右側車身,機車前車頭,,,,,,未依規定讓車,未注意車前狀態,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,大學（研究）生,,,,,,其他,社交活動,,,,,,本國,本國,
10105YY000043,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,69,62,,,,,,未受傷,受傷,,,,,,U5****3代號344,16****V代號345,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經呼氣檢測未超過0.15mg∕L或血液檢測未超過0.03,經檢測無酒精反應,,,,,,汽車右側車身,汽車右前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,服務工作者,家庭主婦（夫）,,,,,,其他,其他,,,,,,本國,本國,
10105YZ000001,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,46,58,,,,,,未受傷,受傷,,,,,,6F****3代號346,92****F代號347,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車左側車身,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,其他,其他,,,,,,社交活動,其他,,,,,,本國,本國,
10105YZ000002,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,17,60,,,,,,受傷,受傷,,,,,,PZ****5代號348,02****A代號349,,,,,,其他,其他,,,,,,無照（未達考照年齡）,越級駕駛,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車左側車身,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,無業者,技術員及助理人員,,,,,,社交活動,社交活動,,,,,,本國,本國,
10105YZ000003,自用 小貨車(含客、貨兩用),普通重型 機車,乘客 人,,,,,小貨車自用,機車普通重型,乘客,,,,,47,19,19,,,,,未受傷,受傷,受傷,,,,,WY****7代號350,MP****2代號351,MP****2代號351,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車右前車頭（身）,機車左側車身,非汽（機）車,,,,,右轉彎未依規定,尚未發現肇事因素,尚未發現肇事因素,,,,,右轉彎未依規定,右轉彎未依規定,右轉彎未依規定,,,,,技術員及助理人員,大學（研究）生,大學（研究）生,,,,,上、下班,社交活動,社交活動,,,,,本國,本國,本國
10105YZ000004,自用 小客車,普通輕型 機車,,,,,,小客車自用,機車普通輕型,,,,,,25,56,,,,,,未受傷,受傷,,,,,,6F****8代號352,WZ****2代號353,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,機車前車頭,,,,,,未依規定讓車,未注意車前狀態,,,,,,未依規定讓車,未依規定讓車,,,,,,不明,不明,,,,,,不明,不明,,,,,,本國,本國,
10105YZ000005,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,26,62,,,,,,未受傷,受傷,,,,,,6F****6代號354,87****D代號355,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車後車尾,,,,,,未保持行車安全距離,尚未發現肇事因素,,,,,,未保持行車安全距離,未保持行車安全距離,,,,,,技術員及助理人員,無業者,,,,,,業務聯繫,社交活動,,,,,,本國,本國,
10105YZ000006,自用 全聯結車,自用 小客車,,,,,,全聯結車自用,小客車自用,,,,,,60,33,,,,,,,,,,,,,05***L代號356,WY****9代號357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,
